개설대학,개설학과,교과목번호,강좌번호,교과목명,부제명,수업교시,"강의실(동-호)(#연건, *평창)",수강신청인원
농업생명과학대학,응용생물화학부,5192.252,1,식물병리학총론, ,수(09:00~11:50),200-6112,42
농업생명과학대학,농경제사회학부,5202.202,1,지역개발론, ,금(15:00~17:50),200-1012,36
농업생명과학대학,산림과학부,5241.216,1,산림자원평가학 및 실습, ,화(13:00~14:50)/화(15:00~16:50),200-7218/200-7218,33
농업생명과학대학,식품·동물생명공학부,5251.302,2,식품미생물학, ,월(12:30~13:45)/수(12:30~13:45),200-8112/200-8112,33
농업생명과학대학,바이오시스템·소재학부,5261.228,1,바이오열역학, ,월(14:00~15:15)/수(14:00~15:15),200-2213/200-2213,36
농업생명과학대학,조경·지역시스템공학부,5271.227,1,조경생태분석, ,금(09:00~10:50)/금(11:00~12:50),200-1007/200-1007,19
농업생명과학대학,조경·지역시스템공학부,5272.202,1,응용공학수학 2, ,금(10:00~12:50),200-1043,36
수의과대학,수의학과,552.115A,1,수의해부학 및 실습 2, ,월(12:00~13:50)/월(18:00~20:50),085-205/085-205,58
수의과대학,수의학과,552.117,1,수의조직학 및 실습 2, ,화(11:00~12:50)/화(17:00~19:50),085-205/085-205,58
수의과대학,수의학과,552.121,1,수의생화학 및 실습 2, ,목(09:00~10:50)/목(14:00~16:50),085-205/085-205,58
수의과대학,수의학과,552.123,1,수의생리학 및 실습 2, ,금(09:00~11:50)/금(13:00~15:50),085-205/085-205,58
수의과대학,수의학과,552.126,1,수의약리학 및 실습 1, ,목(11:00~12:50)/목(17:00~19:50),085-205/085-205,58
수의과대학,수의학과,552.127,1,수의미생물학 및 실습 1, ,수(11:00~12:50)/수(16:00~18:50),085-205/085-205,58
수의과대학,수의학과,552.128,1,수의기생충학 및 실습 1, ,화(09:00~10:50)/화(14:00~16:50),085-205/085-205,58
수의과대학,수의학과,552.129,1,수의생물공학 및 실습, ,월(09:00~11:50)/월(15:00~17:50),085-205/085-205,57
수의과대학,수의학과,552.131,1,수의신경과학, ,수(09:00~10:50),085-205,57
수의과대학,수의학과,552.132,1,수의기초임상신경과학, ,수(14:00~15:50),085-205,57
수의과대학,수의학과,552.220,1,수의병리학 및 실습 2, ,화(11:00~12:50)/목(11:00~11:50)/목(14:00~14:50)/목(15:00~18:50)/금(11:00~12:50),085-206/085-206/085-206/085-206/085-206,54
수의과대학,수의학과,552.223,1,수의독성학 및 실습 2, ,수(11:00~12:50)/수(14:00~17:50),085-206/085-206,54
수의과대학,수의학과,552.225,1,수의전염병학 및 실습, ,월(11:00~12:50)/화(14:00~17:50)/목(09:00~10:50),085-206/085-206/085-206,54
수의과대학,수의학과,552.226,1,수의공중보건학 및 실습 1, ,목(12:00~12:50)/금(09:00~10:50)/금(14:00~17:50),085-206/085-206/085-206,53
수의과대학,수의학과,552.227,1,실험동물의학 및 실습, ,월(09:00~10:50)/월(14:00~17:50)/화(09:00~10:50),085-206/085-206/085-206,54
수의과대학,수의학과,552.228,1,동물-수의사-사회, ,수(09:00~10:50),085-206,53
수의과대학,수의학과,552.327,1,수의진단영상학 및 실습, ,화(15:00~18:50)/목(10:00~10:50)/금(12:00~12:50),085-208/085-208/085-208,51
수의과대학,수의학과,552.331,1,수의외과학 및 실습 2, ,월(09:00~10:50)/목(11:00~12:50)/금(14:00~17:50),085-208/085-208/085-208,51
수의과대학,수의학과,552.333,1,수의산과학 및 실습 2, ,월(11:00~11:50)/수(09:00~10:50)/수(15:00~18:50)/목(09:00~09:50),085-208/085-208/085-208/085-208,51
수의과대학,수의학과,552.334,1,수의안과학, ,화(11:00~12:50),085-208,51
수의과대학,수의학과,552.335,1,수의피부과학, ,금(09:00~10:50),085-208,51
수의과대학,수의학과,552.336,1,야생동물질병학 및 실습, ,월(12:00~12:50)/월(14:00~14:50)/월(15:00~18:50),085-208/085-208/085-208,51
수의과대학,수의학과,552.337,1,수의사법규, ,목(18:00~19:50),085-208,51
수의과대학,수의학과,552.349,1,소동물내과학 및 실습2, ,수(11:00~12:50)/목(14:00~15:50),085-208/085-208,51
수의과대학,수의학과,552.350,1,대동물내과학 및 실습, ,화(09:00~10:50)/목(16:00~17:50),085-208/085-208,51
수의과대학,수의학과,552.443A,1,수의학심화실습, ,월(16:00~18:50)/화(16:00~18:50)/수(16:00~17:50)/수(18:00~18:50)/목(16:00~18:50)/금(16:00~18:50),085-209/085-209/085-209/085-209/085-209/085-209,45
수의과대학,수의예과,552P.002,1,예비수의사를위한자기계발, ,금(13:00~14:50),085-210,45
수의과대학,수의예과,552P.004,1,수의용어학, ,금(17:00~18:50),085-210,47
수의과대학,수의학과,552P.005,1,동물 아카데미, ,금(15:00~16:50),085-210,51
수의과대학,수의예과,552P.007,1,수의유전학개론, ,목(14:00~16:50),085-210,47
의과대학,의예과,801P.102,1,의학입문, ,금(13:00~15:50)/금(13:00~15:50),043-1-201/043-1-402,140
간호대학,간호학과,811.208,1,기본간호학및실습 2, ,목(10:00~10:50)/목(11:00~12:50),#012-102/#012-102,38
간호대학,간호학과,811.208,2,기본간호학및실습 2, ,목(14:00~14:50)/목(15:00~16:50),#012-102/#012-102,36
간호대학,간호학과,811.212,1,지역사회간호학 1, ,월(10:00~11:50),#012-102,76
간호대학,간호학과,811.215,1,건강교육과 상담, ,수(13:00~15:50),#012-102,77
